12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:45:11.673 INFO  [main] - ADDED: id=1720 IOTA IOTA
13:45:11.673 INFO  [main] - ADDED: id=18876 ApeCoin APE
13:45:11.673 INFO  [main] - ADDED: id=4256 Klaytn KLAY
13:45:11.673 INFO  [main] - ADDED: id=8646 Mina MINA
13:45:11.673 INFO  [main] - ADDED: id=6538 Curve DAO Token CRV
13:45:11.673 INFO  [main] - ADDED: id=2502 Huobi Token HT
13:45:11.673 INFO  [main] - ADDED: id=2943 Rocket Pool RPL
13:45:11.674 INFO  [main] - ADDED: id=16086 BitTorrent(New) BTT
13:45:11.674 INFO  [main] - ADDED: id=7334 Conflux CFX
13:45:11.674 INFO  [main] - ADDED: id=11156 dYdX DYDX
13:45:11.674 INFO  [main] - ADDED: id=4269 GateToken GT
13:45:11.674 INFO  [main] - ADDED: id=5899 Casper CSPR
13:45:11.674 INFO  [main] - ADDED: id=11857 GMX GMX
13:45:11.674 INFO  [main] - ADDED: id=4172 Terra Classic LUNC
13:45:11.675 INFO  [main] - ADDED: id=20947 Sui SUI
13:45:11.675 INFO  [main] - ADDED: id=7080 Gala GALA
13:45:11.675 INFO  [main] - ADDED: id=5692 Compound COMP
13:45:11.675 INFO  [main] - ADDED: id=9816 APENFT NFT
13:45:11.675 INFO  [main] - ADDED: id=2694 Nexo NEXO
13:45:11.675 INFO  [main] - ADDED: id=7501 WOO Network WOO
13:45:11.675 INFO  [main] - ADDED: id=131 Dash DASH
13:45:11.675 INFO  [main] - ADDED: id=2469 Zilliqa ZIL
13:45:11.676 INFO  [main] - ADDED: id=4041 MX TOKEN MX
13:45:11.676 INFO  [main] - ADDED: id=7653 Oasis Network ROSE
13:45:11.676 INFO  [main] - ADDED: id=1697 Basic Attention Token BAT
13:45:11.676 INFO  [main] - ADDED: id=8119 SafePal SFP
13:45:11.676 INFO  [main] - ADDED: id=8104 1inch Network 1INCH
13:45:11.676 INFO  [main] - ADDED: id=24478 Pepe PEPE
13:45:11.676 INFO  [main] - ADDED: id=5632 Arweave AR
13:45:11.676 INFO  [main] - ADDED: id=1659 Gnosis GNO
13:45:11.676 INFO  [main] - ADDED: id=7186 PancakeSwap CAKE
13:45:11.677 INFO  [main] - ADDED: id=873 NEM XEM
13:45:11.677 INFO  [main] - ADDED: id=2083 Bitcoin Gold BTG
13:45:11.677 INFO  [main] - ADDED: id=2299 aelf ELF
13:45:11.677 INFO  [main] - ADDED: id=1684 Qtum QTUM
13:45:11.677 INFO  [main] - ADDED: id=7950 Flare FLR
13:45:11.677 INFO  [main] - ADDED: id=1934 Loopring LRC
13:45:11.677 INFO  [main] - ADDED: id=2682 Holo HOT
13:45:11.677 INFO  [main] - ADDED: id=3306 Gemini Dollar GUSD
13:45:11.677 INFO  [main] - ADDED: id=12885 Astar ASTR
13:45:11.678 INFO  [main] - ADDED: id=5488 JUST JST
13:45:11.678 INFO  [main] - ADDED: id=5567 Celo CELO
13:45:11.678 INFO  [main] - ADDED: id=5665 Helium HNT
13:45:11.678 INFO  [main] - ADDED: id=3822 Theta Fuel TFUEL
13:45:11.678 INFO  [main] - ADDED: id=2130 Enjin Coin ENJ
13:45:11.678 INFO  [main] - ADDED: id=8536 Mask Network MASK
13:45:11.678 INFO  [main] - ADDED: id=13855 Ethereum Name Service ENS
13:45:11.678 INFO  [main] - ADDED: id=13502 Worldcoin WLD
13:45:11.678 INFO  [main] - ADDED: id=9903 Convex Finance CVX
13:45:11.678 INFO  [main] - ADDED: id=2424 SingularityNET AGIX
13:45:11.679 INFO  [main] - ADDED: id=1455 Golem GLM
13:45:11.679 INFO  [main] - ADDED: id=9258 Chia XCH
13:45:11.679 INFO  [main] - ADDED: id=3783 Ankr ANKR
13:45:11.679 INFO  [main] - ADDED: id=4679 Band Protocol BAND
13:45:11.679 INFO  [main] - ADDED: id=23121 Blur BLUR
13:45:11.679 INFO  [main] - ADDED: id=1680 Aragon ANT
13:45:11.679 INFO  [main] - ADDED: id=1168 Decred DCR
13:45:11.679 INFO  [main] - ADDED: id=18069 STEPN GMT
13:45:11.680 INFO  [main] - ADDED: id=2577 Ravencoin RVN
13:45:11.680 INFO  [main] - ADDED: id=17751 Threshold T
13:45:11.680 INFO  [main] - ADDED: id=23149 Sei SEI
13:45:11.680 INFO  [main] - ADDED: id=1896 0x Protocol ZRX
13:45:11.680 INFO  [main] - ADDED: id=2300 WAX WAXP
13:45:11.680 INFO  [main] - ADDED: id=10804 FLOKI FLOKI
13:45:11.680 INFO  [main] - ADDED: id=7431 Akash Network AKT
13:45:11.680 INFO  [main] - ADDED: id=2099 ICON ICX
13:45:11.680 INFO  [main] - ADDED: id=3773 Fetch.ai FET
13:45:11.681 INFO  [main] - ADDED: id=2777 IoTeX IOTX
13:45:11.681 INFO  [main] - ADDED: id=11865 Bone ShibaSwap BONE
13:45:11.681 INFO  [main] - ADDED: id=1274 Waves WAVES
13:45:11.681 INFO  [main] - ADDED: id=5864 yearn.finance YFI
13:45:11.681 INFO  [main] - ADDED: id=13523 Merit Circle MC
13:45:11.681 INFO  [main] - ADDED: id=20314 Terra LUNA
13:45:11.681 INFO  [main] - ADDED: id=3640 Livepeer LPT
13:45:11.681 INFO  [main] - ADDED: id=1042 Siacoin SC
13:45:11.681 INFO  [main] - ADDED: id=5728 Balancer BAL
13:45:11.681 INFO  [main] - ADDED: id=3911 Ocean Protocol OCEAN
13:45:11.682 INFO  [main] - ADDED: id=4944 Tellor TRB
13:45:11.682 INFO  [main] - ADDED: id=4279 Solar SXP
13:45:11.682 INFO  [main] - ADDED: id=7455 Audius AUDIO
13:45:11.682 INFO  [main] - ADDED: id=8425 JasmyCoin JASMY
13:45:11.682 INFO  [main] - ADDED: id=5370 Hive HIVE
13:45:11.682 INFO  [main] - ADDED: id=2570 TomoChain TOMO
13:45:11.682 INFO  [main] - ADDED: id=1772 Storj STORJ
13:45:11.683 INFO  [main] - ADDED: id=5034 Kusama KSM
13:45:11.683 INFO  [main] - ADDED: id=2566 Ontology ONT
13:45:11.683 INFO  [main] - ADDED: id=8719 Illuvium ILV
13:45:11.683 INFO  [main] - ADDED: id=17799 Axelar AXL
13:45:11.683 INFO  [main] - ADDED: id=2588 Loom Network LOOM
13:45:11.683 INFO  [main] - ADDED: id=2405 IOST IOST
13:45:11.683 INFO  [main] - ADDED: id=9543 Biconomy BICO
13:45:11.683 INFO  [main] - ADDED: id=7429 Liquity LQTY
13:45:11.683 INFO  [main] - ADDED: id=6836 Moonbeam GLMR
13:45:11.683 INFO  [main] - ADDED: id=3835 Orbs ORBS
13:45:11.684 INFO  [main] - ADDED: id=23246 tomiNet TOMI
13:45:11.684 INFO  [main] - ADDED: id=21296 EthereumPoW ETHW
