16:38:09.276 INFO  [main] c.kabgig.CoinBot.CoinBotApplication - Starting CoinBotApplication using Java 17.0.7 with PID 97581 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
17:06:03.133 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3155 Quant QNT
17:06:03.133 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=27075 Mantle MNT
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=11841 Arbitrum ARB
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6535 NEAR Protocol NEAR
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7278 Aave AAVE
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3602 Bitcoin SV BSV
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4847 Stacks STX
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6719 The Graph GRT
17:06:03.134 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=19891 USDD USDD
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4030 Algorand ALGO
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5690 Render RNDR
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7226 Injective INJ
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2634 XDC Network XDC
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6892 MultiversX EGLD
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=10603 Immutable IMX
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2011 Tezos XTZ
17:06:03.135 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1765 EOS EOS
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6210 The Sandbox SAND
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2416 Theta Network THETA
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6783 Axie Infinity AXS
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=11092 Bitget Token BGB
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4157 THORChain RUNE
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1966 Decentraland MANA
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2586 Synthetix SNX
17:06:03.136 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=10791 eCash XEC
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3513 Fantom FTM
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3330 Pax Dollar USDP
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4705 PAX Gold PAXG
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4846 Kava KAVA
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5176 Tether Gold XAUt
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1376 Neo NEO
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5964 Trust Wallet Token TWT
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4558 Flow FLOW
17:06:03.137 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2087 KuCoin Token KCS
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4066 Chiliz CHZ
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1437 Zcash ZEC
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6953 Frax Share FXS
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=18876 ApeCoin APE
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1720 IOTA IOTA
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4256 Klaytn KLAY
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2502 Huobi Token HT
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8646 Mina MINA
17:06:03.138 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=6538 Curve DAO Token CRV
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2943 Rocket Pool RPL
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=16086 BitTorrent(New) BTT
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4269 GateToken GT
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7334 Conflux CFX
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5899 Casper CSPR
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=11156 dYdX DYDX
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4172 Terra Classic LUNC
17:06:03.139 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=20947 Sui SUI
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=9816 APENFT NFT
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7080 Gala GALA
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=11857 GMX GMX
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5692 Compound COMP
